Ion,m/z
a1,43.5519
a2,107.5993
a3,172.1206
a4,220.6470
a5,277.1890
a6,320.7051
a7,370.2393
a8,413.7553
a9,457.2713
a10,521.3006
a11,585.3299
a12,650.8501
a13,707.3921
a14,771.4396
a15,844.9738
a16,923.0244
a17,973.5482
a18,1030.0903
a19,1087.1117
a20,1160.6459
a21,1217.6674
a22,1253.1860
a23,1317.7072
a24,1346.2180
a25,1410.7393
a26,1459.2657
a27,1523.7870
a28,1580.3290
a29,1636.8710
a30,1702.3913
a31,1758.9333
a32,1794.4519
a33,1851.4733
a34,1944.5130
a35,2022.5635
a36,2071.0899
a37,2106.6085
a38,2170.6378
a39,2219.1641
a40,2275.7062
a41,2339.7536
a42,2396.7751
a43,2474.8257
a44,2538.8550
a45,2588.3892
a46,2666.4397
b1,57.5493
b2,121.5968
b3,186.1181
b4,234.6445
b5,291.1865
b6,334.7025
b7,384.2367
b8,427.7527
b9,471.2688
b10,535.2980
b11,599.3273
b12,664.8476
b13,721.3896
b14,785.4371
b15,858.9713
b16,937.0218
b17,987.5457
b18,1044.0877
b19,1101.1092
b20,1174.6434
b21,1231.6649
b22,1267.1834
b23,1331.7047
b24,1360.2154
b25,1424.7367
b26,1473.2631
b27,1537.7844
b28,1594.3264
b29,1650.8685
b30,1716.3887
b31,1772.9308
b32,1808.4493
b33,1865.4708
b34,1958.5104
b35,2036.5610
b36,2085.0874
b37,2120.6059
b38,2184.6352
b39,2233.1616
b40,2289.7036
b41,2353.7511
b42,2410.7726
b43,2488.8231
b44,2552.8524
b45,2602.3866
b46,2680.4372
y1,38.5257
y2,116.5762
y3,166.1104
y4,230.1397
y5,308.1903
y6,365.2117
y7,429.2592
y8,485.8012
y9,534.3276
y10,598.3569
y11,633.8755
y12,682.4019
y13,760.4524
y14,853.4921
y15,910.5135
y16,946.0321
y17,1002.5741
y18,1068.0944
y19,1124.6364
y20,1181.1784
y21,1245.6997
y22,1294.2261
y23,1358.7474
y24,1387.2581
y25,1451.7794
y26,1487.2980
y27,1544.3194
y28,1617.8537
y29,1674.8751
y30,1731.4171
y31,1781.9410
y32,1859.9915
y33,1933.5258
y34,1997.5732
y35,2054.1153
y36,2119.6355
y37,2183.6648
y38,2247.6941
y39,2291.2101
y40,2334.7261
y41,2384.2603
y42,2427.7763
y43,2484.3184
y44,2532.8447
y45,2597.3660
y46,2661.4135
